title;rating;address;metro;avg_check;breakfast;business_lunch;deleviry;parking;catering;banquets;telephone;site;restaurant_type;open_hours;positive_reviews;negative_reviews
One Price Coffee;0;Москва, Автозаводская, 18, ТРЦ «Ривьера», 1 этаж;['Автозаводская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 015 31 50;http://onepricecoffee.com;['Сэндвичи', 'Кофейни'];08:00 до 22:00;0;0
Hookah Time;0;Москва, просп. Андропова, 13а;['Коломенская'];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 929 921 49 09;http://www.vk.com/htkolomenskaya;['Европейская кухня', 'Итальянская кухня', 'Паровые коктейли', 'Пицца', 'Бары'];16:00 до 04:00;0;0
Зеленый мыс;0;Москва, Южнобутовская, 75;['Улица Горчакова', 'Бунинская аллея'];700–1700 ₽;Нет;Есть;Есть;Есть;Нет;Есть;+7 (495) 714 31 09; +7 925 142 65 38;['Грузинская кухня', 'Европейская кухня', 'Русская кухня', 'Хачапури', 'Хинкали', 'Караоке', 'Кафе', 'Веранды'];14:00 до 02:00;0;0
П & M;0;Москва, Бутлерова, 12;['Калужская', 'Беляево', 'Воронцовская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;Нет;Нет;['Грузинская кухня', 'Пицца', 'Турецкая кухня', 'Узбекская кухня', 'Хачапури', 'Шаурма', 'Кафе', 'Круглосуточно'];00:00 до 00:00;0;0
Gloster;0;Москва, б-р Адмирала Ушакова, 12;['Улица Скобелевская'];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 985 184 90 90;http://www.glosterbar.ru;['Бургеры', 'Европейская кухня', 'Бары', 'Пабы', 'Пивные рестораны'];12:00 до 02:00;0;0
Мята Lounge;0;Москва, Керченская, 1б;['Каховская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 903 530 30 34;http://vk.com/myata_kakhovka;['Паровые коктейли', 'Чайные'];12:00 до 03:00;0;0
Келья;6.8;Москва, пер. Сивцев Вражек, 3/18;['Кропоткинская'];1700–3000 ₽;Нет;Есть;Нет;Есть;Нет;Есть;+7 (495) 697 68 41;http://www.kelyabar.ru;['Бельгийская кухня', 'Бургеры', 'Европейская кухня', 'Пабы', 'Пивные рестораны'];12:00 до 00:00;0;0
Grebeshok Bistro;0;Москва, Кутузовский просп., 12, стр. 1, БЦ «Бадаевский»;['Киевская'];1700–3000 ₽;Нет;Нет;Нет;Есть;Нет;Есть;+7 985 167 99 44;http://grebeshok.rest;['Европейская кухня', 'Итальянская кухня', 'Средиземноморская кухня', 'Винотеки', 'Гастропабы', 'Рыба и морепродукты'];12:00 до 00:00;0;0
Pizza da mamma;0;Москва, 7-й км Пятницкого ш., влад. 2, ТП «Отрада»;['Пятницкое шоссе'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 925 202 39 49;http://www.pizzadamamma.ru;['Итальянская кухня', 'Пицца', 'Фастфуд'];10:00 до 22:00;0;0
Коточино;0;Москва, просп. Вернадского, 29, ТОЦ «Лето»;['Университет'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;Нет;http://vk.com/kotochino;['Кондитерские', 'Кофейни'];08:00 до 18:00;0;0
